ท้องถิ่นเทศบาลตำบลบวกค้าง,สันกำแพง
ท้องถิ่นเทศบาลตำบลบ่อหลวง,ฮอด
ท้องถิ่นเทศบาลตำบลป่าไผ่,สันทราย
ท้องถิ่นเทศบาลตำบลสันนาเม็ง,สันทราย
ท้องถิ่นเทศบาลตำบลสันพระเนตร,สันทราย
ท้องถิ่นเทศบาลตำบลสันปูเลย,ดอยสะเก็ด
ท้องถิ่นเทศบาลตำบลเชิงดอย,ดอยสะเก็ด
ท้องถิ่นเทศบาลตำบลเมืองนะ,เชียงดาว
ท้องถิ่นเทศบาลตำบลทุ่งข้าวพวง,เชียงดาว
ท้องถิ่นเทศบาลตำบลปิงโค้ง,เชียงดาว
ท้องถิ่นเทศบาลตำบลพระธาตุปู่ก่ำ,เชียงดาว
ท้องถิ่นเทศบาลเมืองแม่เหียะ,เมืองเชียงใหม่
ท้องถิ่นเทศบาลตำบลสารภี,สารภี
ท้องถิ่นเทศบาลตำบลฟ้าฮ่าม,เมืองเชียงใหม่
ท้องถิ่นเทศบาลตำบลหนองจ๊อม,สันทราย
ท้องถิ่นเทศบาลตำบลหนองหอย,เมืองเชียงใหม่
ท้องถิ่นเทศบาลตำบลแม่แฝก,สันทราย
ท้องถิ่นเทศบาลตำบลท่าศาลา,เมืองเชียงใหม่
ท้องถิ่นเทศบาลตำบลหนองผึ้ง,สารภี
ท้องถิ่นเทศบาลตำบลเจดีย์แม่ครัว,สันทราย
ท้องถิ่นเทศบาลตำบลแม่ปั๋ง,พร้าว
ท้องถิ่นเทศบาลตำบลชมภู,สารภี
ท้องถิ่นเทศบาลตำบลป่าแดด,เมืองเชียงใหม่
ท้องถิ่นเทศบาลตำบลสุเทพ,เมืองเชียงใหม่
ท้องถิ่นเทศบาลตำบลหนองป่าครั่ง,เมืองเชียงใหม่
ท้องถิ่นเทศบาลตำบลแม่วาง,แม่วาง
ท้องถิ่นเทศบาลตำบลไชยปราการ,ไชยปราการ
ท้องถิ่นเทศบาลตำบลยางเนิ้ง,สารภี
ท้องถิ่นเทศบาลตำบลอมก๋อย,อมก๋อย
ท้องถิ่นเทศบาลตำบลท่าเดื่อ-มืดกา,ดอยเต่า
ท้องถิ่นเทศบาลตำบลท่าข้าม,ฮอด
ท้องถิ่นเทศบาลตำบลหางดง,หางดง
ท้องถิ่นเทศบาลตำบลหนองตองพัฒนา,หางดง
ท้องถิ่นเทศบาลตำบลสันทรายหลวง,สันทราย
ท้องถิ่นเทศบาลเมืองแม่โจ้,สันทราย
ท้องถิ่นเทศบาลตำบลสันกำแพง,สันกำแพง
ท้องถิ่นเทศบาลเมืองต้นเปา,สันกำแพง
ท้องถิ่นเทศบาลตำบลสันป่าตอง,สันป่าตอง
ท้องถิ่นเทศบาลตำบลบ้านกลาง,สันป่าตอง
ท้องถิ่นเทศบาลตำบลเวียงพร้าว,พร้าว
ท้องถิ่นเทศบาลตำบลแม่อาย,แม่อาย
ท้องถิ่นเทศบาลตำบลเวียงฝาง,ฝาง
ท้องถิ่นเทศบาลตำบลบ้านแม่ข่า,ฝาง
ท้องถิ่นเทศบาลตำบลสะเมิงใต้,สะเมิง
ท้องถิ่นเทศบาลตำบลแม่ริม,แม่ริม
ท้องถิ่นเทศบาลตำบลสันมหาพน,แม่แตง
ท้องถิ่นเทศบาลเมืองเมืองแกนพัฒนา,แม่แตง
ท้องถิ่นเทศบาลตำบลดอยสะเก็ด,ดอยสะเก็ด
ท้องถิ่นเทศบาลตำบลเมืองงาย,เชียงดาว
ท้องถิ่นเทศบาลตำบลเชียงดาว,เชียงดาว
ท้องถิ่นเทศบาลตำบลแม่แจ่ม,แม่แจ่ม
ท้องถิ่นเทศบาลตำบลจอมทอง,จอมทอง
ท้องถิ่นเทศบาลตำบลช้างเผือก,เมืองเชียงใหม่
ท้องถิ่นเทศบาลนครเชียงใหม่,เมืองเชียงใหม่
